ID,Job,Jobs_Group,Profile,Remote,Company,Location,City,State,Salary,Frecuency_Salary,Low_Salary,High_Salary,Mean_Salary,Skills
job_ad4be1fc781a9ae2,Business Intelligence Analyst,Business Intelligence,,,SVS Technologies,"Memphis, TN 38125 (Windyke-Southwind area)",Memphis,TN,,,,,,"['Cognos', 'Excel', 'SQL', 'Oracle']"
job_52e48ce03db08154,Business Analyst,Business Analyst,,,Accella,"Severna Park, MD",Severna Park,MD,,,,,,"['.NET', 'Agile']"
job_d005036505e39583,Sr. Business Analyst (Remote),Business Analyst,Senior,Remote,Carnival Corporation,"Miami, FL",Miami,FL,,,,,,"['Tableau', 'MBA', 'Access', 'Power BI', 'Master', 'SQL']"
job_e0cbeba02b8e3124,SUPPLY CHAIN BUSINESS ANALYST,Business Analyst,,,Dollar Tree,"Chesapeake, VA 23320 (Greenbrier East area)",Chesapeake,VA,,,,,,"['PowerPoint', 'Bachelor', 'Excel', 'SQL']"
job_b0924e93a9e2c392,Business Services Analyst,Business Analyst,,Remote,Solera,Remote+1 ubicación,,,,,,,,"['Jira', 'Office', 'English']"
job_4ec87a8fd8456196,Epic Business Intelligence Reporting and Analytics Developer/Analyst,Business Intelligence,,Remote,Golden Five LLC,Remote,,,,,,,,"['SSIS', '.NET', 'SQL']"
job_97cc84e758304427,"Business Analyst, Level I (Junior)",Business Analyst,Junior,,Concept Plus,"Fairfax, VA 22033+1 ubicación",Fairfax,VA,,,,,,"['Bachelor', 'SQL', 'Oracle']"
job_785b43505a6a2d34,Business Intelligence (BI) Analyst,Business Intelligence,,Remote,Security First Insurance Company (Security First...,"Ormond Beach, FL 32174",Ormond Beach,FL,,,,,,"['Tableau', 'AWS', 'Artificial Intelligence', 'SQL']"
job_60f1fef48ccc606b,Business Intelligence Analyst II,Business Intelligence,,,Mindbody,"San Luis Obispo, CA 93401",San Luis Obispo,CA,,,,,,"['Looker', 'Tableau', 'Bachelor', 'SQL']"
job_95a8b0b160e52abf,IT BUSINESS ANALYST,Business Analyst,,,Broward County Public Schools,"Sunrise, FL 33351",Sunrise,FL,"$68,395 - $97,933 por año",año,68395.0,97933.0,83164.0,[]
job_b467e0f4e2702c94,"Lead Analyst, Business Development Support",Business Analyst,Lead,Hybrid,The Bank of New York Mellon Corporation,"New York, NY+1 ubicación",New York,NY,"$54,000 - $134,000 por año",año,54000.0,134000.0,94000.0,['Bachelor']
job_b1e2749740e09a98,Business Analyst,Business Analyst,,,MicroAire Surgical Instruments LLC,"Charlottesville, VA 22911",Charlottesville,VA,,,,,,[]
job_046d3fc4ab0dafcd,"Analyst 4, Business Support & Analytics",Business Analyst,,,Comcast,"Manchester, NH 03109+3 ubicaciones",Manchester,NH,,,,,,['Bachelor']
